Answer,Emotions Felt
My family salient part day since days care 2 children occupies majority time They 2 years old 7 months I love also require much attention anxiety higher ever I often overwhelmed care require I excited see hit developmental social milestones,happy
Yoga keeps focused I able take time breath work body This important sets mood whole day,happy
Yesterday family I played bunch board games My husband surprising least We played sorts games including Life Clue Mouse Trap It relaxing happy fun filled moment,happy
Yesterday I visited parents dinner I seen weeks wonderful see catch things,happy
Yesterday I really felt importance health I went bit longer hike usual happy I could It really made appreciate health With news people dying tragedy Utah family murder Mexico really made aware importance health well,happy
Yesterday I got lot things ready listing fielded many questions potential buyers I also surveys Mturk Woke morning find quite items bids sell today tomorrow also 2 bonuses surveys,happy
Yesterday I finished two requirements semester I felt relieved requirements hindering writing MA thesis I also felt proud I able tasks flying colors,happy
yesterday work like good old days There much I barely time think I like busy overwhlemed work terribly boring slow lately Yesterday good day,happy
Yesterday sixth month I read sixth chapter Proverbs The wisdom gift God gave Solomon passed writing I felt great connection centuries Gods intervention mans life,happy
Yesterday husbands birthday since done whole revelry thing day spent peacefully bed watching pointless TV shows,happy
yesterday daughters first birthday happy event opened presents gave giant cupcake eat Me family blast celebrating milestone daughters life,happy
Yesterday birthday I spent family important thing life I felt loved pampered I important thing lives well,happy
Yesterday `` PULL DAY '' workout routine I able achieve 50 pull ups 65 lbs hanging waist dip belt I went weight last week felt great,happy
Yesterday productive day work I finished work real-world job quickly able also make $ 100 Mechanical Turk help tremendously getting past due bills currently weighing,happy
Yesterday informative day son daughter-in-law My son told starting new semester school would enrolling day Friday My daughter-in-law happy yesterday offered bring newspapers work could get free boss All pleasant day,happy
Yesterday great day work My client great expressing desire gain attention I taught yesterday say `` hi '' gain attention adults end day saying `` hi '' every adult passed clinic,happy
Yesterday wife I found infertility treatment covered insurance,happy
Yesterday oldest daughter first high school weight lifting meet season This event result many many hours hard work She well coming second place weight class,happy
Yesterday children grand children came cook I seem together weeks great get together I son daughter three grandchildren two boys girl,happy
Yesterday I went GP get informed cat scan hip bothering 73 I happy find isnt arthritis though little hip pinched nerve I given exercises I help alleviate pain I felt good isnt necessarily degenerative thing,happy
Yesterday I went exercise gym I weight lifting mainly worked bench press I felt satisfied I able PR set,happy
Yesterday I went hunting I hike 4 miles I able stalk large deer quite I get anything I really good time felt great I got home,happy
Yesterday I reminded loved appreciated I I reminded people I care care well I important,happy
Yesterday I stopped Subway clothes dryer laundromat I ordered six inch tuna melt spinach tomato jalapeno pickles It one greatest tasting sandwiches I long time healthy eating,happy
Yesterday I made lot money Mturk I expected whole $ 23 These last weeks pretty rough many HITS probably almost holidays,happy
Yesterday I left work met family Target We return baby pajamas get different ones I happy get work spend time family Afterw\ard went eat home watched movie It relaxing evening,happy
Yesterday I research getting calendars printed -- cost different methods I think project really going doable,happy
Yesterday I completed 16 surveys I satisfied work,happy
Yesterday despite feeling sluggish,happy
Working able use skills knowledge benefit growth company,happy
Work demanindg yesteday required work extyra long order finish project way I started week We team tight deadline order finish really working hard It amazing interesting much fun I htis much fun work ever,happy
Work salient allows earn money I pay bills starve death I felt satisfied amount work I able put work project yesterday,happy
Work important I like busy purpose It makes feel good alot important responsibilities It boosts self esteem makes feel good,happy
nothing goes right I know God He lift hes always talk never judges I love always blessed blessing gives,happy
What salient day yesterday spending quality time children Together raked leaves outside yard shared laughter joy,happy
Went grocery shopping mom Got flu shot I,happy
good time nice felt nice loving,happy
We friends surprise us visit We seen 2 years We excited They Hawaii snowing got play snow build snowman,happy
pretty big extracation performed well carried duties pretty well self directed I felt proud functioning like Ive done,happy
able meet girlfriend week seeing I excited,happy
Waking rereshed great conversation wife We talked day never ceased insightful amazing,happy
Upon picking child school gave amazing news chosen Honors quiet Dad I happy proud We know going squeeze Choir rehearsals ballet rehearsals figure Dad taking sunday go celebrate invitation We busy life need start take make time find curious survey came first thought morning bless family quickly time passing make time,happy
Trying help mother-in-law find home kind awkward I feep like wants live us,happy
Today I exercised honestly felt amazing The feeling good workout hard beat,happy
Today favorite food whole world dinner Pepperoni pizza Angelos Pizza Parlour It always makes day pizza,happy
Today snow day shall I specific ice day There layer slick ice coated outdoor surfaces children home school We induldged day enjoyed eachothers company playing games making cookings We watched chinese anime movie dinner snuggled couch,happy
Today best earning day today If I keep earning like I save money cruise friends,happy
